strain stress
-1.3053e-5 -0.231
6.1493e-4 -0.2302
1.2429e-3 -0.2295
1.8709e-3 -0.2288
2.4989e-3 -0.2281
3.1269e-3 -0.2273
3.7549e-3 -0.2266
4.3828e-3 -0.2259
5.0108e-3 -0.2252
5.6388e-3 -0.2244
6.2668e-3 -0.2237
6.8948e-3 -0.223
7.5228e-3 -0.2223
8.1507e-3 -0.2215
8.7787e-3 -0.2208
9.4067e-3 -0.2201
0.01 -0.4503
0.0106 -0.4496
0.0113 -0.2179
0.0119 -0.2172
0.0125 -0.2165
0.0132 -0.2157
0.0138 -0.215
0.0144 -0.2143
0.0151 -0.2136
0.0157 -0.2128
0.0163 0.0189
0.017 0.0196
0.0176 0.0203
0.0182 0.021
0.0188 0.0218
0.0195 0.2534
0.0201 0.2542
0.0207 0.2549
0.0214 0.4866
0.022 0.7183
0.0226 0.7189
0.0233 0.9506
0.0239 1.1824
0.0246 1.4141
0.0252 1.6457
0.0259 1.8774
0.0265 2.1091
0.0271 2.3408
0.0278 2.5725
0.0278 2.8035
0.0284 3.0351
0.0291 3.2668
0.0297 3.4985
0.0304 3.7302
0.0304 3.9612
0.0304 4.1921
0.0304 4.4231
0.031 4.6548
0.031 4.8857
0.0311 5.1167
0.0317 5.3484
0.0317 5.5793
0.0324 5.811
0.0324 6.042
0.033 6.2737
0.033 6.5046
0.0337 6.7363
0.0337 6.9673
0.0343 7.199
0.0343 7.4299
0.035 7.6616
0.035 7.8925
0.0356 8.1243
0.0356 8.3552
0.0363 8.5869
0.0363 8.8178
0.0363 9.0489
0.0369 9.2805
0.037 9.5114
0.0376 9.7431
0.0376 9.9741
0.0383 10.2058
0.0383 10.4368
0.0389 10.6684
0.0389 10.8994
0.0389 11.1304
0.0396 11.362
0.0396 11.5931
0.0402 11.8247
0.0402 12.0557
0.0409 12.2873
0.0409 12.5184
0.0415 12.75
0.0415 12.9809
0.0422 13.2127
0.0422 13.4437
0.0422 13.6745
0.0429 13.9062
0.0429 14.1373
0.0435 14.369
0.0435 14.5998
0.0442 14.8316
0.0442 15.0626
0.0448 15.2942
0.0448 15.5252
0.0455 15.7569
0.0455 15.9879
0.0461 16.2195
0.0461 16.4505
0.0462 16.6815
0.0468 16.9132
0.0468 17.1441
0.0474 17.3758
0.0475 17.6068
0.0481 17.8385
0.0481 18.0694
0.0488 18.3011
0.0488 18.5321
0.0493 18.7638
0.0493 18.9947
0.0493 19.2257
0.0501 19.4574
0.0501 19.6883
0.0507 19.92
0.0507 20.151
0.0514 20.3827
0.0514 20.6136
0.052 20.8453
0.0521 21.0763
0.0527 21.308
0.0527 21.5389
0.0533 21.7706
0.0534 22.0016
0.054 22.2333
0.054 22.4642
0.054 22.6952
0.0547 22.9268
0.0547 23.1578
0.0553 23.3895
0.0553 23.6205
0.056 23.8521
0.056 24.0831
0.0566 24.3148
0.0566 24.5457
0.0567 24.7767
0.0573 25.0084
0.0573 25.2394
0.058 25.4711
0.058 25.702
0.0586 25.9337
0.0586 26.1647
0.0593 26.3963
0.0593 26.6273
0.0599 26.859
0.0599 27.09
0.0606 27.3216
0.0606 27.5526
0.0606 27.7835
0.0612 28.0153
0.0613 28.2462
0.0619 28.4779
0.0619 28.7088
0.0625 28.9405
0.0626 29.1715
0.0632 29.4032
0.0632 29.6341
0.0639 29.8659
0.0639 30.0968
0.0645 30.3285
0.0645 30.5594
0.0652 30.7912
0.0652 31.0221
0.0652 31.253
0.0658 31.4848
0.0658 31.7158
0.0665 31.9474
0.0665 32.1784
0.0671 32.4101
0.0672 32.6411
0.0678 32.8727
0.0678 33.1037
0.0678 33.3347
0.0685 33.5663
0.0685 33.7973
0.0691 34.029
0.0691 34.26
0.0698 34.4916
0.0698 34.7226
0.0704 34.9543
0.0704 35.1853
0.0711 35.4169
0.0711 35.6479
0.0717 35.8796
0.0717 36.1106
0.0724 36.3422
0.0724 36.5732
0.0724 36.8042
0.0731 37.0359
0.0731 37.2668
0.0737 37.4985
0.0737 37.7295
0.0744 37.9612
0.0744 38.1921
0.075 38.4238
0.075 38.6548
0.0757 38.8864
0.0757 39.1174
0.0757 39.3484
0.0763 39.58
0.0763 39.811
0.077 40.0427
0.077 40.2737
0.0776 40.5053
0.0777 40.7363
0.0783 40.968
0.0783 41.199
0.079 41.4307
0.079 41.6616
0.079 41.8925
0.0796 42.1243
0.0796 42.3552
0.0803 42.5869
0.0803 42.8178
0.0809 43.0496
0.0809 43.2805
0.0816 43.5122
0.0816 43.7431
0.0822 43.9748
0.0822 44.2058
0.0829 44.4375
0.0829 44.6684
0.0835 44.9002
0.0836 45.1311
0.0836 45.362
0.0842 45.5937
0.0842 45.8247
0.0849 46.0564
0.0849 46.2873
0.0855 46.5191
0.0855 46.75
0.0862 46.9817
0.0862 47.2127
0.0868 47.4444
0.0868 47.6753
0.0869 47.9062
0.0875 48.138
0.0875 48.3689
0.0881 48.6006
0.0882 48.8316
0.0888 49.0633
0.0888 49.2942
0.0895 49.5259
0.0895 49.7569
0.0901 49.9886
0.0901 50.2195
0.0901 50.4505
0.0908 50.6822
0.0908 50.9132
0.0914 51.1448
0.0914 51.3758
0.0921 51.6075
0.0921 51.8384
0.0927 52.0701
0.0928 52.3011
0.0934 52.5328
0.0934 52.7637
0.094 52.9954
0.0941 53.2264
0.0941 53.4574
0.0947 53.689
0.0947 53.92
0.0954 54.1517
0.0954 54.3827
0.096 54.6143
0.096 54.8453
0.0967 55.077
0.0967 55.308
0.0973 55.5396
0.0973 55.7706
0.0974 56.0016
0.098 56.2333
0.098 56.4642
0.0987 56.6959
0.0987 56.9268
0.0993 57.1586
0.0999 57.3902
0.1 57.6212
0.1006 57.8529
0.1012 58.0846
0.1019 58.3163
0.1025 58.5479
0.1032 58.7795
0.1038 59.0113
0.1044 59.012
0.1051 59.0128
0.1057 59.0135
0.1063 59.0142
0.1069 59.0149
0.1076 59.0157
0.1082 59.0164
0.1088 59.0171
0.1095 59.0178
0.1101 59.0186
0.1107 59.0193
0.1113 59.02
0.112 59.0208
0.1126 59.0215
0.1132 58.7912
0.1138 58.792
0.1145 58.7927
0.1151 58.7934
0.1157 58.7941
0.1164 58.7949
0.117 58.7955
0.1176 58.7963
0.1182 58.797
0.1189 58.7978
0.1195 58.7985
0.1201 58.7992
0.1207 58.7999
0.1214 59.0316
0.1219 59.0324
0.1226 59.0331
0.1233 59.0338
0.1239 59.0345
0.1245 59.0352
0.1252 59.036
0.1258 59.0367
0.1264 59.2684
0.1271 59.2691
0.1277 59.2698
0.1283 59.2706
0.1289 59.2713
0.1296 59.503
0.1302 59.5037
0.1308 59.5044
0.1315 59.5051
0.132 59.7368
0.1327 59.7376
0.1334 59.7383
0.134 59.7389
0.1346 59.7397
0.1353 59.9714
0.1359 59.9722
0.1365 59.9729
0.1372 60.2046
0.1378 60.2053
0.1384 60.437
0.1391 60.4377
0.1397 60.4384
0.1403 60.6701
0.1409 60.6707
0.1416 60.9024
0.1421 60.9033
0.1429 61.1349
0.1435 61.1357
0.1441 61.3674
0.1448 61.3681
0.1454 61.5998
0.146 61.8315
0.1467 61.8322
0.1473 62.0639
0.1479 62.0646
0.1486 62.2963
0.1492 62.528
0.1498 62.5287
0.1505 62.7604
0.1511 62.9921
0.1518 62.9928
0.1524 63.2245
0.153 63.4562
0.1537 63.4569
0.1543 63.6886
0.1549 63.9203
0.1556 64.1519
0.1562 64.1527
0.1569 64.3844
0.1575 64.616
0.1581 64.6168
0.1588 64.8485
0.1594 65.0801
0.16 65.0809
0.1607 65.3126
0.1613 65.5442
0.162 65.7759
0.1626 65.7767
0.1632 66.0083
0.1639 66.24
0.1645 66.4717
0.1651 66.4724
0.1658 66.7041
0.1663 66.9358
0.167 66.9365
0.1677 67.1682
0.1683 67.3999
0.169 67.6316
0.1696 67.8633
0.1702 67.8639
0.1709 68.0957
0.1715 68.3274
0.1722 68.3281
0.1728 68.5598
0.1734 68.7915
0.1741 69.0232
0.1747 69.0239
0.1753 69.2556
0.176 69.4873
0.1766 69.488
0.1773 69.7197
0.1779 69.9514
0.1785 69.9521
0.1792 70.1838
0.1798 70.4155
0.1804 70.4162
0.1811 70.6479
0.1817 70.8796
0.1823 70.8803
0.183 71.112
0.1836 71.3437
0.1843 71.5754
0.1849 71.576
0.1855 71.8077
0.1862 72.0395
